Year,Subject,Assessment Description,Student ID,Location,Enrollment Grade,Grade Equivalent,Grade Mismatch,Gender,Ethnicity,Economically Disadvantaged,ELL Eligible,Former ELL,ELL Duration,NYSESLAT Eligible,Disability,Former SWD,NYSAA Eligible,Homeless,In Foster Care,Parent In Armed Forces,Immigrant,Crisis/Disaster Student Displacement Code,Crisis Name,Standard Achieved,Score,Platform,CBT Not Tested Reason
2021-2022,Math,Grade 6 Math,236335634,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 1,581,PBT,
2021-2022,Math,Grade 8 Math,233377654,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 1,595,PBT,
2021-2022,Math,Grade 6 Math,238081855,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,,,,,,,,,,,,,,,Level 2,598,PBT,
2021-2022,Math,Grade 6 Math,245135728,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,White,YES,YES,,,,,,,,,,,,,Level 1,552,PBT,
2021-2022,Math,Grade 7 Math,255949455,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,White,YES,YES,,,YES,,,,,,,,,,Level 2,593,PBT,
2021-2022,Math,Grade 6 Math,255868630,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,White,YES,YES,,,YES,,,,,,,,,,Level 1,547,PBT,
2021-2022,Math,Grade 6 Math,238596266,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,,,,,,,,,,,,,,,Level 3,609,PBT,
2021-2022,Math,Grade 6 Math,247352743,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Asian,YES,YES,,,,,,,,,,,,,Level 2,599,PBT,
2021-2022,Math,Grade 7 Math,235056298,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 1,590,PBT,
2021-2022,Math,Grade 7 Math,245135710,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,White,YES,YES,,,,,,,,,,,,,Level 2,594,PBT,
2021-2022,Math,Grade 8 Math,250319696,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 3,610,PBT,
2021-2022,Math,Grade 6 Math,236644407,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,,,,,,,,,,,,,,,Level 1,586,PBT,
2021-2022,Math,Grade 7 Math,234871507,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 3,616,PBT,
2021-2022,Math,Grade 6 Math,236750501,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Hispanic or Latino,YES,YES,,,,Learning Disability,,,,,,,,,Level 1,579,PBT,
2021-2022,Math,Grade 6 Math,220150718,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,Autism,,,,,,,,,Level 1,575,PBT,
2021-2022,Math,Grade 7 Math,233871755,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,Learning Disability,,,,,,,,,Level 2,595,PBT,
2021-2022,Math,Grade 7 Math,233603992,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,Learning Disability,,,,,,,,,Level 2,601,PBT,
2021-2022,Math,Grade 8 Math,233774645,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 1,590,PBT,
2021-2022,Math,Grade 6 Math,207405754,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 1,575,PBT,
2021-2022,Math,Grade 6 Math,244426979,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,598,PBT,
2021-2022,Math,Grade 6 Math,235180239,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,Autism,,,,,,,,,Level 3,604,PBT,
2021-2022,Math,Grade 8 Math,237899117,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 3,610,PBT,
2021-2022,Math,Grade 6 Math,237334206,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,YES,,,,,,Level 1,590,PBT,
2021-2022,Math,Grade 7 Math,235720950,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 3,609,PBT,
2021-2022,Math,Grade 7 Math,234359503,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,598,PBT,
2021-2022,Math,Grade 8 Math,231020561,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 1,591,PBT,
2021-2022,Math,Grade 6 Math,238213706,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 2,601,PBT,
2021-2022,Math,Grade 7 Math,234563583,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,605,PBT,
2021-2022,Math,Grade 6 Math,236463873,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 1,584,PBT,
2021-2022,Math,Grade 7 Math,203178801,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,,,,,,,,,,,,,,,Level 1,591,PBT,
2021-2022,Math,Grade 6 Math,237310073,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,,,,,,,,,,,,,,,Level 3,604,PBT,
2021-2022,Math,Grade 7 Math,237976162,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 2,602,PBT,
2021-2022,Math,Grade 6 Math,236335600,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,595,PBT,
2021-2022,Math,Grade 8 Math,207506726,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,,,,,,,,,,,,,,,Level 2,598,PBT,
2021-2022,Math,Grade 6 Math,237649678,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,593,PBT,
2021-2022,Math,Grade 6 Math,237725403,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,596,PBT,
2021-2022,Math,Grade 6 Math,239950421,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,,YES,,,,,Level 2,603,PBT,
2021-2022,Math,Grade 8 Math,238054456,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 3,616,PBT,
2021-2022,Math,Grade 6 Math,255126914,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Hispanic or Latino,YES,,,,,,,,YES,,,,,,Level 3,605,PBT,
2021-2022,Math,Grade 7 Math,209813872,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,,,,Learning Disability,,,,,,,,,Level 1,541,PBT,
2021-2022,Math,Grade 8 Math,234900561,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 3,612,PBT,
2021-2022,Math,Grade 7 Math,234615052,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,,,,,,,YES,,,,,,Level 2,604,PBT,
2021-2022,Math,Grade 7 Math,237046503,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,Speech or Language Impairment,,,YES,,,,,,Level 1,574,PBT,
2021-2022,Math,Grade 8 Math,206111551,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 2,604,PBT,
2021-2022,Math,Grade 8 Math,237899208,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 3,615,PBT,
2021-2022,Math,Grade 7 Math,207501750,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 1,582,PBT,
2021-2022,Math,Grade 6 Math,236580064,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 1,579,PBT,
2021-2022,Math,Grade 6 Math,245717665,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 2,598,PBT,
2021-2022,Math,Grade 7 Math,245717673,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 2,604,PBT,
2021-2022,Math,Grade 6 Math,235441763,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,595,PBT,
2021-2022,Math,Grade 8 Math,233274794,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,,,,,,,,,,,,,,,Level 1,580,PBT,
2021-2022,Math,Grade 6 Math,237564513,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 3,611,PBT,
2021-2022,Math,Grade 7 Math,204994974,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Hispanic or Latino,YES,YES,,,,,,,,,,,,,Level 2,600,PBT,
2021-2022,Math,Grade 7 Math,222713018,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Hispanic or Latino,,,,,,,,,,,,,,,Level 2,603,PBT,
2021-2022,Math,Grade 7 Math,244819660,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 3,609,PBT,
2021-2022,Math,Grade 8 Math,209827088,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,596,PBT,
2021-2022,Math,Grade 7 Math,238056683,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 2,598,PBT,
2021-2022,Math,Grade 7 Math,233200112,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,,,,,YES,,,,,Level 2,604,PBT,
2021-2022,Math,Grade 8 Math,208470914,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 2,606,PBT,
2021-2022,Math,Grade 6 Math,235905155,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Multiracial,YES,,,,,,,,,,,,,,Level 3,610,PBT,
2021-2022,Math,Grade 8 Math,235252194,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Multiracial,YES,,,,,,,,,,,,,,Level 1,580,PBT,
2021-2022,Math,Grade 7 Math,234808160,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 3,609,PBT,
2021-2022,Math,Grade 6 Math,236034039,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,YES,,,,,,Level 1,571,PBT,
2021-2022,Math,Grade 8 Math,225825884,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 2,596,PBT,
2021-2022,Math,Grade 7 Math,203476320,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,604,PBT,
2021-2022,Math,Grade 7 Math,235304391,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,YES,,,,,,,,,,,,,Level 2,600,PBT,
2021-2022,Math,Grade 6 Math,207776329,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,601,PBT,
2021-2022,Math,Grade 7 Math,228909339,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 1,585,PBT,
2021-2022,Math,Grade 8 Math,234091783,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,,,,,,Autism,,,,,,,,,Level 1,583,PBT,
2021-2022,Math,Grade 8 Math,216533729,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 4,623,PBT,
2021-2022,Math,Grade 6 Math,247129703,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,YES,,,,,,,YES,,,,,,Level 2,601,PBT,
2021-2022,Math,Grade 7 Math,226856839,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Hispanic or Latino,YES,,,,,,,,YES,,,,,,Level 2,605,PBT,
2021-2022,Math,Grade 6 Math,247169717,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,Speech or Language Impairment,,,,,,,,,Level 1,571,PBT,
2021-2022,Math,Grade 6 Math,235096955,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,YES,,,,,,Level 1,587,PBT,
2021-2022,Math,Grade 8 Math,208735357,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 1,580,PBT,
2021-2022,Math,Grade 7 Math,237448568,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 4,618,PBT,
2021-2022,Math,Grade 8 Math,252913173,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Hispanic or Latino,YES,,,,,,,,,,,,,,Level 1,580,PBT,
2021-2022,Math,Grade 6 Math,255084659,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 1,589,PBT,
2021-2022,Math,Grade 7 Math,237158571,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,,,,Learning Disability,,,,,,,,,Level 1,586,PBT,
2021-2022,Math,Grade 8 Math,100969847,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Hispanic or Latino,YES,,,,,,,,YES,,,,,,Level 1,590,PBT,
2021-2022,Math,Grade 8 Math,244769998,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Hispanic or Latino,YES,YES,,,,,,,,,,,,,Level 2,598,PBT,
2021-2022,Math,Grade 8 Math,237897947,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,601,PBT,
2021-2022,Math,Grade 8 Math,205695026,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,,,,,,Learning Disability,,,,,,,,,Level 2,596,PBT,
2021-2022,Math,Grade 8 Math,205695018,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,,,,,,,,,,,,,,,Level 2,607,PBT,
2021-2022,Math,Grade 7 Math,235417912,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,YES,,,,,,,,,,,,Level 2,594,PBT,
2021-2022,Math,Grade 6 Math,219537792,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 1,575,PBT,
2021-2022,Math,Grade 8 Math,227888146,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,Learning Disability,,,,,,,,,Level 2,600,PBT,
2021-2022,Math,Grade 7 Math,234837052,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Multiracial,YES,,,,,,,,,,,,,,Level 1,586,PBT,
2021-2022,Math,Grade 8 Math,209433416,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 2,608,PBT,
2021-2022,Math,Grade 8 Math,229870506,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 3,611,PBT,
2021-2022,Math,Grade 6 Math,223377599,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 1,561,PBT,
2021-2022,Math,Grade 7 Math,230096752,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Hispanic or Latino,YES,YES,,,,Speech or Language Impairment,,,,,,,,,Level 2,594,PBT,
2021-2022,Math,Grade 8 Math,206379513,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Hispanic or Latino,YES,,,,,,,,,,,,,,Level 1,593,PBT,
2021-2022,Math,Grade 7 Math,209813237,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,,,,Speech or Language Impairment,,,,,,,,,Level 1,555,PBT,
2021-2022,Math,Grade 6 Math,239847569,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,American Indian or Alaska Native,YES,,,,,,,,,,,,,,Level 3,606,PBT,
2021-2022,Math,Grade 6 Math,234494359,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 3,607,PBT,
2021-2022,Math,Grade 8 Math,255280489,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,598,PBT,
2021-2022,Math,Grade 8 Math,204532733,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,Other Health Impairment,,,,,,,,,Level 1,556,PBT,
2021-2022,Math,Grade 8 Math,206839110,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 1,571,PBT,
2021-2022,Math,Grade 7 Math,224113993,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 3,613,PBT,
2021-2022,Math,Grade 7 Math,237187083,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,,,,Learning Disability,,,,,,,,,Level 1,564,PBT,
2021-2022,Math,Grade 8 Math,206402844,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,Autism,,,,,,,,,Level 1,583,PBT,
2021-2022,Math,Grade 8 Math,215416686,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 2,608,PBT,
2021-2022,Math,Grade 6 Math,237805478,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 3,609,PBT,
2021-2022,Math,Grade 7 Math,228676490,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,Learning Disability,,,,,,,,,Level 1,590,PBT,
2021-2022,Math,Grade 8 Math,234122497,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,608,PBT,
2021-2022,Math,Grade 8 Math,234153591,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,602,PBT,
2021-2022,Math,Grade 8 Math,250652393,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Hispanic or Latino,YES,,,,,Learning Disability,,,,,,,,,Level 1,571,PBT,
2021-2022,Math,Grade 6 Math,220047377,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,Learning Disability,,,,,,,,,Level 1,584,PBT,
2021-2022,Math,Grade 7 Math,232065888,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,,,,Speech or Language Impairment,,,,,,,,,Level 1,585,PBT,
2021-2022,Math,Grade 8 Math,223047408,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,Speech or Language Impairment,,,,,,,,,Level 1,547,PBT,
2021-2022,Math,Grade 8 Math,243769692,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,YES,,,,,,Level 1,583,PBT,
2021-2022,Math,Grade 6 Math,218892131,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Hispanic or Latino,YES,YES,,,,,,,,,,,,,Level 1,589,PBT,
2021-2022,Math,Grade 7 Math,234301901,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 3,613,PBT,
2021-2022,Math,Grade 6 Math,238254817,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 3,607,PBT,
2021-2022,Math,Grade 8 Math,233788280,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,607,PBT,
2021-2022,Math,Grade 6 Math,236418935,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,Learning Disability,,,,,,,,,Level 1,581,PBT,
2021-2022,Math,Grade 8 Math,233257609,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 1,593,PBT,
2021-2022,Math,Grade 6 Math,239780109,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 4,617,PBT,
2021-2022,Math,Grade 6 Math,207601097,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 1,586,PBT,
2021-2022,Math,Grade 8 Math,233231752,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,Learning Disability,,,,,,,,,Level 2,606,PBT,
2021-2022,Math,Grade 8 Math,233379312,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 2,604,PBT,
2021-2022,Math,Grade 8 Math,233627439,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 1,585,PBT,
2021-2022,Math,Grade 6 Math,238196950,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,603,PBT,
2021-2022,Math,Grade 8 Math,229731682,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,Speech or Language Impairment,,,,,,,,,Level 1,533,PBT,
2021-2022,Math,Grade 8 Math,236853982,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 2,604,PBT,
2021-2022,Math,Grade 8 Math,237919949,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,598,PBT,
2021-2022,Math,Grade 7 Math,224240663,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,,,,,,,,,,,,,,,Level 2,605,PBT,
2021-2022,Math,Grade 6 Math,235395233,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Hispanic or Latino,YES,,,,,,,,,,,,,,Level 2,592,PBT,
2021-2022,Math,Grade 8 Math,233258862,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,Learning Disability,,,YES,,,,,,Level 1,588,PBT,
2021-2022,Math,Grade 7 Math,234836906,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,Learning Disability,,,,,,,,,Level 2,595,PBT,
2021-2022,Math,Grade 6 Math,237496799,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,YES,,,,,,Level 1,575,PBT,
2021-2022,Math,Grade 6 Math,237198700,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,Learning Disability,,,,,,,,,Level 1,584,PBT,
2021-2022,Math,Grade 6 Math,235388014,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 4,624,PBT,
2021-2022,Math,Grade 8 Math,228768693,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 1,583,PBT,
2021-2022,Math,Grade 6 Math,236411849,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Hispanic or Latino,YES,,,,,,,,,,,,,,Level 4,618,PBT,
2021-2022,Math,Grade 7 Math,235066677,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 1,580,PBT,
2021-2022,Math,Grade 6 Math,236100913,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 1,590,PBT,
2021-2022,Math,Grade 7 Math,237146147,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Hispanic or Latino,YES,YES,,,,,,,,,,,,,Level 1,577,PBT,
2021-2022,Math,Grade 6 Math,238054928,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 1,584,PBT,
2021-2022,Math,Grade 6 Math,237316112,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 1,552,PBT,
2021-2022,Math,Grade 8 Math,233739911,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Hispanic or Latino,YES,YES,,,,,,,,,,,,,Level 1,595,PBT,
2021-2022,Math,Grade 7 Math,235553716,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Hispanic or Latino,YES,,,,,,,,,,,,,,Level 3,616,PBT,
2021-2022,Math,Grade 7 Math,234359438,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,,,,,,,,,,,,,Level 2,603,PBT,
2021-2022,Math,Grade 6 Math,238064026,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 3,605,PBT,
2021-2022,Math,Grade 8 Math,206952434,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Male,Black or African American,,,,,,,,,,,,,,,Level 1,590,PBT,
2021-2022,Math,Grade 8 Math,234300416,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 1,565,PBT,
2021-2022,Math,Grade 6 Math,236453312,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Hispanic or Latino,YES,,,,,Learning Disability,,,,,,,,,Level 1,561,PBT,
2021-2022,Math,Grade 6 Math,237163860,LAUNCH EXPEDITIONARY LEARNING CS,6,6,,Male,Black or African American,YES,,,,,Speech or Language Impairment,,,,,,,,,Level 1,575,PBT,
2021-2022,Math,Grade 7 Math,243769700,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,,,,,,,YES,,,,,,Level 2,605,PBT,
2021-2022,Math,Grade 7 Math,243769676,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Male,Black or African American,YES,,,,,Learning Disability,,,YES,,,,,,Level 1,570,PBT,
2021-2022,Math,Grade 8 Math,255067837,LAUNCH EXPEDITIONARY LEARNING CS,8,8,,Female,Black or African American,,,,,,,,,,,,,,,Level 3,612,PBT,
2021-2022,Math,Grade 7 Math,233888569,LAUNCH EXPEDITIONARY LEARNING CS,7,7,,Female,Black or African American,YES,,,,,,,,,,,,,,Level 2,593,PBT,
